model,domain,embed_model,embeedding,f1,accuracy,train_accuracy,recall,precision,cost,latency,date,batch_size
SVM,finance,mini,True,99.21,99.47,0.9809027777777777,98.93,99.5,0.0,1409085083.0244656,2025-04-28 13:33:41.893138,1
SVM,finance,mini,True,99.21,99.47,0.9809027777777777,98.93,99.5,0.0,1342491777.9590857,2025-04-28 13:50:25.890660,1
SVM,finance,tf_idf,True,99.75,99.83,0.9809027777777777,99.83,99.67,0.0,3099363818.764367,2025-04-28 13:52:38.394335,1
SVM,finance,baai,True,99.71,99.81,0.9975694444444443,99.92,99.51,0.0,490210477.0655806,2025-04-28 14:03:08.672882,1
SVM,healthcare,mini,True,99.92,99.94,0.9965277777777779,99.92,99.92,0.0,569842928.7916493,2025-04-28 14:06:19.677991,1
SVM,healthcare,tf_idf,True,99.71,99.81,0.9826388888888887,99.5,99.92,0.0,4201079518.635853,2025-04-28 14:09:14.817913,1
SVM,healthcare,baai,True,99.96,99.97,0.998263888888889,99.92,100.0,0.0,280972440.2261844,2025-04-28 14:19:40.972039,1
SVM,law,mini,True,99.44,99.61,0.98125,99.44,99.44,0.0,1199588314.256464,2025-04-28 14:23:17.424697,1
SVM,law,tf_idf,True,99.48,99.64,0.9576388888888889,99.04,99.92,0.0,4903760019.592066,2025-04-28 14:26:39.018373,1
SVM,law,baai,True,99.88,99.92,0.9940972222222222,99.84,99.92,0.0,473274056.21778935,2025-04-28 14:37:45.531810,1
XGBoost,finance,mini,True,99.63,99.75,0.9888888888888889,99.75,99.51,0.0,12613200.348549383,2025-04-28 16:25:22.201576,1
XGBoost,finance,tf_idf,True,99.71,99.81,0.986111111111111,99.92,99.51,0.0,5043300.485846836,2025-04-28 16:25:34.788309,1
XGBoost,finance,baai,True,99.79,99.86,0.9864583333333334,99.75,99.83,0.0,5772400.577341821,2025-04-28 16:25:40.436468,1
XGBoost,healthcare,mini,True,99.96,99.97,0.9913194444444444,99.92,100.0,0.0,5430800.591585648,2025-04-28 16:25:45.745840,1
XGBoost,healthcare,tf_idf,True,99.45,99.64,0.9701388888888889,98.91,100.0,0.0,7285900.490324074,2025-04-28 16:26:01.178681,1
XGBoost,healthcare,baai,True,99.75,99.83,0.9927083333333334,99.83,99.67,0.0,6544900.623479938,2025-04-28 16:26:05.306883,1
XGBoost,law,mini,True,99.88,99.92,0.9888888888888889,99.76,100.0,0.0,6314800.57044946,2025-04-28 16:26:11.130523,1
XGBoost,law,tf_idf,True,99.48,99.64,0.961111111111111,99.28,99.68,0.0,9486800.455229552,2025-04-28 16:26:27.488253,1
XGBoost,law,baai,True,99.88,99.92,0.9847222222222223,99.76,100.0,0.0,7259300.546657021,2025-04-28 16:26:33.959613,1
fastText,finance,fastText,True,50.31,33.61,0.9925,100.0,33.61,0.0,34183.11111111111,2025-04-30 12:15:04.290452,1
fastText,finance,fastText,True,0.0,66.39,0.9922916666666667,0.0,0.0,0.0,14660.222222222223,2025-04-30 12:25:52.786343,1
fastText,finance,fastText,True,50.31,33.61,0.9875,100.0,33.61,0.0,8076,2025-04-30 12:28:00.445848,1
fastText,healthcare,fastText,True,0.0,66.75,0.9952083333333334,0.0,0.0,0.0,10535.333333333334,2025-04-30 12:28:38.928084,1
fastText,law,fastText,True,51.45,34.64,0.9968055555555555,100.0,34.64,0.0,224447.88888888888,2025-04-30 12:29:21.011953,1
fastText,finance,fastText,True,98.64,99.08,0.9931944444444445,99.26,98.04,0.0,25130.277777777777,2025-04-30 12:52:58.492986,1
fastText,healthcare,fastText,True,98.71,99.14,0.9949305555555555,99.25,98.18,0.0,28233.63888888889,2025-04-30 12:58:03.299324,1
fastText,law,fastText,True,99.19,99.44,0.9977083333333333,98.48,99.92,0.0,54395.166666666664,2025-04-30 13:03:24.902162,1
